Winners, Losers
Alabama,South Alabama
Houston,Virginia
UNC,College of Charleston
USC,Florida Gulf Coast
Abilene Christian,UT Arlington
Cincinnati,Alabama A&M
Iowa State,Alabama State
Georgetown,American
Purdue-Fort Wayne,Austin Peay
Georgia Southern,Bob Jones University
Northeastern,Boston University
Pacific,Cal State Stanislaus
NC State,Central Connecticut
Louisiana-Monroe,Champion Christian
Loyola (IL),Chicago State
Cornell,Colgate
Concordia (TX),Incarnate Word
Creighton,Nebraska
UTSA,Denver
Evansville,DePauw
Cleveland State,Edinboro
Sacred Heart,Fisher College
Tennessee State,Fisk
Cal State Fullerton,George Washington
Richmond,Georgia State
Towson,Hampton
Notre Dame,High Point
Iona,Hofstra
Western Illinois,Iowa Wesleyan
California Baptist,Jackson State
UCF,Jacksonville
Troy,Jacksonville State
James Madison,Eastern Kentucky
Brown,Johnson & Wales (RI)
VMI,Keystone
UC-Irvine,La Verne
Penn,Lafayette
Monmouth,Lehigh
Mercer,Life
Dartmouth,Lyndon State
Oklahoma State,UMass-Lowell
Fairfield,Medgar Evers
Miami (FL),Florida Atlantic
Bradley,Missouri S&T
Murray State,Illinois State
Santa Clara,Nevada
Northwestern,New Orleans
Rutgers,NJIT
Iowa,North Carolina Central
Pitt,UNC Wilmington
Arizona,North Dakota State
UTEP,Northern New Mexico
Kent State,Oberlin
Texas-Rio Grande Valley,Paul Quinn
Delaware State,Regent
UC-San Diego,San Diego Christian
Georgia,South Carolina State
Rice,Southern
Wichita State,Tarleton State
Chattanooga,Tennessee Tech
Texas A&M-Corpus Christi,IUPUI
UIC,Trinity Christian
Norfolk State,William & Mary
Middle Tennessee,Winthrop
Vermont,Worcester Tech
Yale,Siena
UCLA,North Florida
Texas,Northern Colorado
Baylor,Central Arkansas
Arkansas,Northern Iowa
George Mason,Maryland
UConn,LIU
Loyola Marymount,Little Rock
Saint Mary's,Bellarmine
Columbia,Binghamton
Rhode Island,Boston College
Pepperdine,UC-Davis
San Diego,UC-Riverside
UMass-Lowell,Central Connecticut
Wake Forest,Charleston Southern
Mississippi State,Detroit
Drexel,St. Joseph's
Portland State,George Fox
Harvard,Albany (NY)
Texas A&M,Houston Baptist
UTSA,IUPUI
Kansas City,Kansas Christian
Delaware,La Salle
Lipscomb,Dayton
Coppin State,Loyola (MD)
Princeton,Marist
Army,Merrimack
Michigan State,Butler
Missouri State,Sam Houston State
South Dakota State,Montana State
Kansas State,Omaha
Oklahoma State,NC State
Grand Canyon,Prairie View
Bucknell,Rider
Indiana,St. John's (NY)
Miami (OH),Stetson
Texas A&M-Corpus Christi,Denver
Air Force,Texas Southern
Oakland,Toledo
Florida State,Tulane
Utah Valley,Long Beach State
Stanford,Valparaiso
VCU,Vanderbilt
Louisiana,Xavier (LA)
Kansas,Stony Brook
Xavier,Ohio State
St. Bonaventure,Boise State
Florida,Milwaukee
South Carolina,UAB
Iowa,Alabama State
San Diego State,Arizona State
Portland,Arkansas-Pine Bluff
Florida International,Ball State
Boston University,Hartford
Northern Arizona,Cal State Bakersfield
Campbell,Marshall
The Citadel,Carver College
Charlotte,Appalachian State
Clemson,Temple
UNC Wilmington,Coastal Carolina
New Mexico State,Davidson
Northern Kentucky,Eastern Michigan
West Virginia,Elon
Northwestern,Fairleigh Dickinson
UNC Greensboro,Green Bay
North Carolina A&T,Greensboro
Oral Roberts,Haskell (KS)
Indiana State,Old Dominion
Marquette,Ole Miss
Weber State,UMass
LSU,McNeese State
Seattle,Morgan State
San Francisco,Nevada
Providence,New Hampshire
TCU,Nicholls State
Missouri,Northern Illinois
Oklahoma,East Carolina
Utah State,Penn
Cincinnati,Presbyterian
South Dakota State,Presentation College
Eastern Illinois,Rockford
DePaul,Rutgers
Saginaw Valley,Western Michigan
Virginia Tech,Saint Francis (PA)
Samford,Oregon State
California Baptist,San Jose State
ETSU,USC Upstate
SMU,Southeastern Louisiana
California,Southern Utah
South Carolina State,St. Andrews
Penn State,St. Francis (NY)
Colgate,SUNY-Polytechnic
UNC Asheville,Tennessee Tech
North Texas,UT Arlington
Morehead State,Transylvania
Washington State,Idaho
Akron,Wheeling Jesuit
Wyoming,Washington
Gonzaga,Bellarmine
Duke,Lafayette
